"z_id","address","dateSold","price","beds","baths","house_area"
"zpid_42726807","5306 NW 20th Ct, Gainesville, FL",2017-04-03,80000,3,1,995
"zpid_70737414","511 NW 14th Ave, Gainesville, FL",2017-04-03,125000,3,1,940
"zpid_42718974","7712 SW 22nd Ave, Gainesville, FL",2017-04-03,247000,3,3,1896
"zpid_66690669","8451 NW 62nd Ln, Gainesville, FL",2017-04-03,780000,4,4,4364
"zpid_42730463","1606 NW 22nd St, Gainesville, FL",2017-04-03,264000,5,3,3100
"zpid_42716758","3848 SW 1st Ave, Gainesville, FL",2017-04-03,177500,4,2,1632
"zpid_82053387","13508 NW 5th Ln, Newberry, FL",2017-03-31,347000,4,3,2487
"zpid_50124831","5522 NW 51st Ave, Gainesville, FL",2017-03-31,459500,4,3,3012
"zpid_54584390","2730 SW 98th Dr, Gainesville, FL",2017-03-31,275000,4,2,2599
"zpid_42716138","122 NW 28th Ter, Gainesville, FL",2017-03-31,2e+05,4,3,1624
"zpid_42728844","911 NW 33rd Ave, Gainesville, FL",2017-03-31,160000,3,1.5,1454
"zpid_42708101","2704 NW 45th Pl, Gainesville, FL",2017-03-30,134000,2,2,1461
"zpid_42720281","3244 SW 75th St, Gainesville, FL",2017-03-30,139000,3,2,1424
"zpid_42709998","3551 NW 23rd Pl, Gainesville, FL",2017-03-30,287000,4,4,2541
"zpid_87627714","9818 NW 18th Rd, Gainesville, FL",2017-03-29,325000,5,3,2665
"zpid_42710567","3416 NW 44th Dr, Gainesville, FL",2017-03-29,227000,4,2,2049
"zpid_42703018","6605 NW 32nd St, Gainesville, FL",2017-03-29,97000,3,2,1361
"zpid_48188647","1012 NW 87th Way, Gainesville, FL",2017-03-29,187000,3,2,1720
"zpid_54478075","1013 NW 87th Ter, Gainesville, FL",2017-03-29,198500,3,2,1647
"zpid_42712629","10233 NW 13th Ln, Gainesville, FL",2017-03-29,302000,4,3,2235
"zpid_42722023","4503 SW 94th Dr, Gainesville, FL",2017-03-29,6e+05,4,4,3298
"zpid_42702785","7222 NW 52nd Ter, Gainesville, FL",2017-03-29,150000,2,3,1348
"zpid_66691486","2181 NW 52nd Pl, Gainesville, FL",2017-03-28,178000,3,2,1440
"zpid_42710635","4726 NW 33rd Pl, Gainesville, FL",2017-03-28,195000,3,2,1806
"zpid_42715525","2549 NW 12th Ave, Gainesville, FL",2017-03-28,161000,4,2,1612
"zpid_42706107","6201 NW 44th Pl, Gainesville, FL",2017-03-28,166000,3,2,1295
"zpid_42704229","3444 NW 54th Ln, Gainesville, FL",2017-03-28,164000,3,2,1583
"zpid_42711282","2413 NW 54th Ter, Gainesville, FL",2017-03-24,150000,3,2,1422
"zpid_42712206","2509 NW 104th Ct, Gainesville, FL",2017-03-24,159000,2,2,1846
"zpid_42708640","5117 NW 28th Ter, Gainesville, FL",2017-03-24,157000,3,2,1105
"zpid_42727529","1939 NW 40th Pl, Gainesville, FL",2017-03-24,149900,3,2,1202
"zpid_42707440","4158 NW 36th St, Gainesville, FL",2017-03-24,155000,3,2,1426
"zpid_42717558","420 SW 83rd Ter, Gainesville, FL",2017-03-24,263000,4,3,2108
"zpid_82054062","14205 NW 10th Rd, Newberry, FL",2017-03-24,249900,3,2,1817
"zpid_42720563","5601 SW 75th Ter, Gainesville, FL",2017-03-24,143000,3,2,1360
"zpid_42731400","229 NW 16th Ave, Gainesville, FL",2017-03-24,90000,3,2,1597
"zpid_42709942","3711 NW 38th St, Gainesville, FL",2017-03-24,237500,3,2,1920
"zpid_42717977","10200 NW 6th Pl, Gainesville, FL",2017-03-24,245000,3,3,2367
"zpid_42708731","4927 NW 30th Ter, Gainesville, FL",2017-03-24,437500,3,2,1118
"zpid_42705963","4403 NW 77th Ter, Gainesville, FL",2017-03-23,315000,4,3,2532
"zpid_103027553","2460 SW 77th St, Gainesville, FL",2017-03-23,280000,3,2,1882
"zpid_103018779","8126 NW 53rd Ter, Gainesville, FL",2017-03-23,220000,4,2,1897
"zpid_42730737","923 NW 21st Ter, Gainesville, FL",2017-03-23,299428,3,3,2345
"zpid_42714898","2016 NW 36th Dr, Gainesville, FL",2017-03-23,75000,3,2,1326
"zpid_42714336","1021 NW 40th Dr, Gainesville, FL",2017-03-22,165500,3,1.5,1718
"zpid_42716861","318 SW 40th Ter, Gainesville, FL",2017-03-22,165000,3,2,1637
"zpid_42728924","3400 NW 3rd St, Gainesville, FL",2017-03-22,525000,3,2,1259
"zpid_42719233","2027 SW 73rd St, Gainesville, FL",2017-03-22,112000,3,2,1170
"zpid_42704927","6011 NW 41st Dr, Gainesville, FL",2017-03-22,209000,3,2,1420
"zpid_54478081","5341 NW 15th Pl, Gainesville, FL",2017-03-22,222500,4,2,1646
"zpid_42714329","1115 NW 40th Dr, Gainesville, FL",2017-03-22,175500,4,2,1620
"zpid_42726508","7304 NW 21st Way, Gainesville, FL",2017-03-21,135000,3,2,1206
"zpid_42703348","6715 NW 28th Ter, Gainesville, FL",2017-03-21,100619,3,2,1234
"zpid_60912260","819 SW 86th Way, Gainesville, FL",2017-03-21,340000,4,3,2530
"zpid_103012038","14133 NW 9th Rd, Newberry, FL",2017-03-20,210000,3,2,1944
"zpid_42721624","10424 SW 55th Pl, Gainesville, FL",2017-03-20,227600,3,2,1756
"zpid_58881701","1658 SW 16th St, Gainesville, FL",2017-03-20,109900,2,2,1120
"zpid_42704303","3653 NW 60th Ln, Gainesville, FL",2017-03-20,207000,3,2,1541
"zpid_42706125","4343 NW 61st Ter, Gainesville, FL",2017-03-20,174900,3,3,1415
"zpid_42706861","4918 NW 36th Dr, Gainesville, FL",2017-03-20,179900,4,2,1620
"zpid_42718084","518 NW 98th St, Gainesville, FL",2017-03-20,168500,3,2,1456
"zpid_2095801705","3653 NW 60th Ln, Gainesville, FL",2017-03-17,207000,3,2,1541
"zpid_42725015","2958 SW 39th Ave, Gainesville, FL",2017-03-17,97000,2,2,1369
"zpid_42706807","3527 NW 46th Pl, Gainesville, FL",2017-03-17,189900,3,2,1650
"zpid_66690134","9405 SW 31st Ln, Gainesville, FL",2017-03-17,245000,3,3,2235
"zpid_42696924","3531 NW 110th Ter, Gainesville, FL",2017-03-17,178000,3,2,1496
"zpid_42712677","7714 NW 22nd Ln, Gainesville, FL",2017-03-17,399000,4,4,2892
"zpid_42718299","1121 SW 98th St, Gainesville, FL",2017-03-17,179200,3,3,2424
"zpid_103025214","13549 NW 9th Rd, Newberry, FL",2017-03-17,449900,4,3,2500
"zpid_58880645","4000 SW 23rd St # 2-306, Gainesville, FL",2017-03-17,120000,4,4,1177
